len	pos	indels	type
10	0	0	inner
10	1	0	inner
10	2	0	inner
10	3	0	inner
10	4	0	inner
10	5	0	inner
10	6	0	inner
10	7	0	inner
10	8	0	inner
10	9	0	inner
11	0	0	inner
11	1	0	inner
11	2	0	inner
11	3	0	inner
11	4	0	inner
11	5	0	inner
11	6	0	inner
11	7	0	inner
11	8	0	inner
11	9	0	inner
11	10	0	inner
12	0	0	inner
12	1	0	inner
12	2	1	inner
12	3	2	inner
12	4	3	inner
12	5	5	inner
12	6	3	inner
12	7	2	inner
12	8	0	inner
12	9	0	inner
12	10	0	inner
12	11	0	inner
13	0	0	inner
13	1	0	inner
13	2	1	inner
13	3	1	inner
13	4	1	inner
13	5	1	inner
13	6	0	inner
13	7	0	inner
13	8	0	inner
13	9	0	inner
13	10	0	inner
13	11	0	inner
13	12	0	inner
14	0	0	inner
14	1	0	inner
14	2	0	inner
14	3	0	inner
14	4	0	inner
14	5	2	inner
14	6	5	inner
14	7	4	inner
14	8	1	inner
14	9	1	inner
14	10	1	inner
14	11	0	inner
14	12	1	inner
14	13	1	inner
15	0	0	inner
15	1	1	inner
15	2	1	inner
15	3	1	inner
15	4	1	inner
15	5	1	inner
15	6	2	inner
15	7	5	inner
15	8	10	inner
15	9	9	inner
15	10	1	inner
15	11	0	inner
15	12	1	inner
15	13	1	inner
15	14	1	inner
16	0	0	inner
16	1	0	inner
16	2	0	inner
16	3	0	inner
16	4	0	inner
16	5	0	inner
16	6	1	inner
16	7	2	inner
16	8	3	inner
16	9	2	inner
16	10	0	inner
16	11	0	inner
16	12	0	inner
16	13	2	inner
16	14	2	inner
16	15	2	inner
17	0	0	inner
17	1	0	inner
17	2	0	inner
17	3	0	inner
17	4	0	inner
17	5	0	inner
17	6	0	inner
17	7	0	inner
17	8	0	inner
17	9	0	inner
17	10	0	inner
17	11	0	inner
17	12	0	inner
17	13	0	inner
17	14	0	inner
17	15	1	inner
17	16	0	inner
18	0	0	inner
18	1	0	inner
18	2	0	inner
18	3	0	inner
18	4	0	inner
18	5	0	inner
18	6	0	inner
18	7	0	inner
18	8	0	inner
18	9	0	inner
18	10	0	inner
18	11	0	inner
18	12	0	inner
18	13	0	inner
18	14	0	inner
18	15	0	inner
18	16	0	inner
18	17	0	inner
19	0	0	inner
19	1	0	inner
19	2	0	inner
19	3	0	inner
19	4	0	inner
19	5	0	inner
19	6	0	inner
19	7	0	inner
19	8	0	inner
19	9	0	inner
19	10	0	inner
19	11	0	inner
19	12	0	inner
19	13	0	inner
19	14	0	inner
19	15	0	inner
19	16	0	inner
19	17	0	inner
19	18	0	inner
20	0	0	inner
20	1	0	inner
20	2	0	inner
20	3	0	inner
20	4	0	inner
20	5	0	inner
20	6	0	inner
20	7	0	inner
20	8	0	inner
20	9	0	inner
20	10	0	inner
20	11	0	inner
20	12	0	inner
20	13	0	inner
20	14	0	inner
20	15	0	inner
20	16	0	inner
20	17	0	inner
20	18	0	inner
20	19	0	inner
10	0	0	outer
10	1	0	outer
10	2	0	outer
10	3	0	outer
10	4	0	outer
10	5	0	outer
10	6	0	outer
10	7	0	outer
10	8	0	outer
10	9	0	outer
11	0	0	outer
11	1	1	outer
11	2	0	outer
11	3	0	outer
11	4	0	outer
11	5	2	outer
11	6	0	outer
11	7	0	outer
11	8	0	outer
11	9	0	outer
11	10	0	outer
12	0	0	outer
12	1	0	outer
12	2	4	outer
12	3	4	outer
12	4	17	outer
12	5	16	outer
12	6	6	outer
12	7	3	outer
12	8	1	outer
12	9	0	outer
12	10	0	outer
12	11	0	outer
13	0	0	outer
13	1	0	outer
13	2	0	outer
13	3	0	outer
13	4	20	outer
13	5	34	outer
13	6	34	outer
13	7	19	outer
13	8	8	outer
13	9	2	outer
13	10	0	outer
13	11	0	outer
13	12	0	outer
14	0	0	outer
14	1	0	outer
14	2	3	outer
14	3	3	outer
14	4	9	outer
14	5	13	outer
14	6	9	outer
14	7	8	outer
14	8	8	outer
14	9	1	outer
14	10	0	outer
14	11	0	outer
14	12	0	outer
14	13	0	outer
15	0	0	outer
15	1	0	outer
15	2	0	outer
15	3	0	outer
15	4	3	outer
15	5	4	outer
15	6	7	outer
15	7	7	outer
15	8	4	outer
15	9	5	outer
15	10	0	outer
15	11	1	outer
15	12	0	outer
15	13	0	outer
15	14	0	outer
16	0	0	outer
16	1	0	outer
16	2	0	outer
16	3	0	outer
16	4	1	outer
16	5	0	outer
16	6	0	outer
16	7	0	outer
16	8	1	outer
16	9	1	outer
16	10	0	outer
16	11	0	outer
16	12	0	outer
16	13	0	outer
16	14	1	outer
16	15	1	outer
17	0	0	outer
17	1	0	outer
17	2	0	outer
17	3	0	outer
17	4	0	outer
17	5	0	outer
17	6	0	outer
17	7	0	outer
17	8	0	outer
17	9	0	outer
17	10	0	outer
17	11	0	outer
17	12	0	outer
17	13	0	outer
17	14	0	outer
17	15	0	outer
17	16	0	outer
18	0	0	outer
18	1	0	outer
18	2	0	outer
18	3	0	outer
18	4	0	outer
18	5	0	outer
18	6	0	outer
18	7	0	outer
18	8	0	outer
18	9	0	outer
18	10	0	outer
18	11	0	outer
18	12	0	outer
18	13	0	outer
18	14	0	outer
18	15	0	outer
18	16	0	outer
18	17	0	outer
